Date,Region,Postcode,Latitude,Longitude,Sales,Profit,Orders,Profit_Margin_Pct,Territory_Performance
2026-04-01,Darwin,0800,-12.4634,130.8456,147856.5,27368.55,428,18.51,High
2026-04-01,Palmerston,0830,-12.486,130.983,115067.7,21660.21,327,18.82,Medium
2026-04-01,Alice Springs,0870,-23.698,133.8807,104504.4,19398.06,291,18.56,Medium
2026-04-01,Katherine,0850,-14.4652,132.2635,78744.6,14887.62,216,18.91,Low
2026-04-01,Tennant Creek,0860,-19.6497,134.1914,60390.0,9410.94,166,15.58,Low
2026-04-01,Nhulunbuy,0880,-12.1825,136.7819,70359.3,11075.13,189,15.74,Low
2026-04-01,Jabiru,0886,-12.6667,132.8333,52658.1,8699.13,138,16.52,Low
2026-04-01,Yulara,0872,-25.2406,130.9889,76368.6,13460.04,206,17.63,Low
2026-05-01,Darwin,0800,-12.4634,130.8456,143463.0,28779.3,416,20.06,High
2026-05-01,Palmerston,0830,-12.486,130.983,120360.0,22767.42,342,18.92,Medium
2026-05-01,Alice Springs,0870,-23.698,133.8807,109262.4,20381.64,305,18.65,Medium
2026-05-01,Katherine,0850,-14.4652,132.2635,82385.4,14445.24,226,17.53,Medium
2026-05-01,Tennant Creek,0860,-19.6497,134.1914,63153.3,9896.04,174,15.67,Low
2026-05-01,Nhulunbuy,0880,-12.1825,136.7819,68268.6,11641.26,183,17.05,Low
2026-05-01,Jabiru,0886,-12.6667,132.8333,55080.0,9140.22,145,16.59,Low
2026-05-01,Yulara,0872,-25.2406,130.9889,79845.6,13060.08,215,16.36,Low
2026-06-01,Darwin,0800,-12.4634,130.8456,149966.25,30224.25,434,20.15,High
2026-06-01,Palmerston,0830,-12.486,130.983,125758.5,23901.15,357,19.01,High
2026-06-01,Alice Springs,0870,-23.698,133.8807,105924.0,19758.9,295,18.65,Medium
2026-06-01,Katherine,0850,-14.4652,132.2635,86100.0,15176.7,236,17.63,Medium
2026-06-01,Tennant Creek,0860,-19.6497,134.1914,65971.5,10392.9,182,15.75,Low
2026-06-01,Nhulunbuy,0880,-12.1825,136.7819,71363.25,12220.95,191,17.12,Low
2026-06-01,Jabiru,0886,-12.6667,132.8333,57550.5,8860.95,151,15.4,Low
2026-06-01,Yulara,0872,-25.2406,130.9889,77406.0,13721.4,209,17.73,Low
2026-07-01,Darwin,0800,-12.4634,130.8456,156600.0,31703.4,454,20.24,High
2026-07-01,Palmerston,0830,-12.486,130.983,131263.2,23151.96,373,17.64,High
2026-07-01,Alice Springs,0870,-23.698,133.8807,110635.2,20742.48,309,18.75,Medium
2026-07-01,Katherine,0850,-14.4652,132.2635,89888.4,15925.68,247,17.72,Medium
2026-07-01,Tennant Creek,0860,-19.6497,134.1914,63903.6,10901.52,176,17.06,Low
2026-07-01,Nhulunbuy,0880,-12.1825,136.7819,74520.0,11837.88,200,15.89,Low
2026-07-01,Jabiru,0886,-12.6667,132.8333,60069.6,9302.04,158,15.49,Low
2026-07-01,Yulara,0872,-25.2406,130.9889,80848.8,14398.56,218,17.81,Medium
2026-08-01,Darwin,0800,-12.4634,130.8456,164836.0,30962.4,477,18.78,High
2026-08-01,Palmerston,0830,-12.486,130.983,128195.2,24504.48,364,19.11,High
2026-08-01,Alice Springs,0870,-23.698,133.8807,116480.0,21945.28,325,18.84,Medium
2026-08-01,Katherine,0850,-14.4652,132.2635,94595.2,16842.56,260,17.8,Medium
2026-08-01,Tennant Creek,0860,-19.6497,134.1914,67295.2,10646.72,185,15.82,Low
2026-08-01,Nhulunbuy,0880,-12.1825,136.7819,78439.2,12529.44,210,15.97,Low
2026-08-01,Jabiru,0886,-12.6667,132.8333,58665.6,9841.44,154,16.78,Low
2026-08-01,Yulara,0872,-25.2406,130.9889,85120.0,15227.52,230,17.89,Medium
2026-09-01,Darwin,0800,-12.4634,130.8456,164285.0,31036.5,476,18.89,High
2026-09-01,Palmerston,0830,-12.486,130.983,127853.0,24553.1,363,19.2,High
2026-09-01,Alice Springs,0870,-23.698,133.8807,116116.0,21980.2,324,18.93,Medium
2026-09-01,Katherine,0850,-14.4652,132.2635,87494.0,15578.2,240,17.8,Medium
2026-09-01,Tennant Creek,0860,-19.6497,134.1914,67100.0,10672.2,185,15.9,Low
2026-09-01,Nhulunbuy,0880,-12.1825,136.7819,78177.0,12554.3,210,16.06,Low
2026-09-01,Jabiru,0886,-12.6667,132.8333,58509.0,9857.1,154,16.85,Low
2026-09-01,Yulara,0872,-25.2406,130.9889,84854.0,14084.4,229,16.6,Medium
2026-10-01,Darwin,0800,-12.4634,130.8456,161747.5,33102.75,469,20.47,High
2026-10-01,Palmerston,0830,-12.486,130.983,135700.0,26177.45,385,19.29,High
2026-10-01,Alice Springs,0870,-23.698,133.8807,123188.0,21640.7,344,17.57,Medium
2026-10-01,Katherine,0850,-14.4652,132.2635,92885.5,16622.1,255,17.9,Medium
2026-10-01,Tennant Creek,0860,-19.6497,134.1914,71202.25,11382.7,196,15.99,Low
2026-10-01,Nhulunbuy,0880,-12.1825,136.7819,76969.5,13384.85,206,17.39,Low
2026-10-01,Jabiru,0886,-12.6667,132.8333,62100.0,9704.85,163,15.63,Low
2026-10-01,Yulara,0872,-25.2406,130.9889,90022.0,15028.2,243,16.69,Medium
2026-11-01,Darwin,0800,-12.4634,130.8456,171390.0,35226.0,496,20.55,High
2026-11-01,Palmerston,0830,-12.486,130.983,143724.0,25724.4,408,17.9,High
2026-11-01,Alice Springs,0870,-23.698,133.8807,121056.0,23047.2,338,19.04,Medium
2026-11-01,Katherine,0850,-14.4652,132.2635,98400.0,17695.2,270,17.98,Medium
2026-11-01,Tennant Creek,0860,-19.6497,134.1914,75396.0,12112.8,208,16.07,Low
2026-11-01,Nhulunbuy,0880,-12.1825,136.7819,81558.0,13153.2,219,16.13,Medium
2026-11-01,Jabiru,0886,-12.6667,132.8333,65772.0,10335.6,173,15.71,Low
2026-11-01,Yulara,0872,-25.2406,130.9889,88464.0,15998.4,239,18.08,Medium
2026-12-01,Darwin,0800,-12.4634,130.8456,181250.0,34556.25,525,19.07,High
2026-12-01,Palmerston,0830,-12.486,130.983,151925.0,27348.75,431,18.0,High
2026-12-01,Alice Springs,0870,-23.698,133.8807,128050.0,24492.5,357,19.13,High
2026-12-01,Katherine,0850,-14.4652,132.2635,104037.5,18797.5,285,18.07,Medium
2026-12-01,Tennant Creek,0860,-19.6497,134.1914,73962.5,11882.5,204,16.07,Low
2026-12-01,Nhulunbuy,0880,-12.1825,136.7819,86250.0,13983.75,231,16.21,Medium
2026-12-01,Jabiru,0886,-12.6667,132.8333,69525.0,10983.75,183,15.8,Low
2026-12-01,Yulara,0872,-25.2406,130.9889,93575.0,16995.0,252,18.16,Medium
